year,Date,S&P 100,S&P 500,S&P 600,Dow Jones,Nasdaq,Russell 2000,Barron's 400,Wilshire 5000
175,13-May-2016,0.9952965683587325,0.9948812428906152,0.9845478464378643,0.9884271302653851,0.996098104793757,0.9889837806803502,0.9884936422497855,0.994417010621932
176,20-May-2016,1.0014760797964333,1.0027899795271207,1.00530045769969,0.9980393856513596,1.0109969306947484,1.0089256558180035,1.010555182890739,1.003214516989182
177,27-May-2016,1.022372545784524,1.0227742262415216,1.0322519055941488,1.021272000246844,1.0343721433423627,1.034316898622649,1.0290701079635305,1.023274832206961
178,3-Jun-2016,0.9978160066272903,1.00003334826065,1.0095326172013943,0.9962983726491366,1.0018283166109254,1.0118909991742362,1.0029595902105861,1.0009457552103505
179,10-Jun-2016,0.9992344683328661,0.9985422532191909,1.0042703121696852,1.0032728591918036,0.990294424706425,0.9998281978816799,0.9940037074868536,0.9982279790249065
180,17-Jun-2016,0.9872673320744538,0.9881444799076365,0.984422801650341,0.9893548065695923,0.9807520609657681,0.9834783878755595,0.9799425298293023,0.9883388637076842
181,24-Jun-2016,0.9842177168151265,0.9836762874054906,0.9864999714888522,0.9844748222929807,0.9807596961881866,0.9850091727090067,0.985280124283911,0.9844052072197662
182,1-Jul-2016,1.0323927552164884,1.0321682920963378,1.0262423953411077,1.0315285260692786,1.0328357384695772,1.0259236922858612,1.0285984587184895,1.031515734487619
183,8-Jul-2016,1.0135207813441185,1.0128153308447658,1.017221228719884,1.0109959291050328,1.019370415233097,1.0177995625751013,1.0172070207710586,1.0130801972714667
184,15-Jul-2016,1.014507827009817,1.0149490586412506,1.0253599114064231,1.0203788669480027,1.014693065631582,1.023739552898009,1.0221715706589307,1.01482440648497
185,22-Jul-2016,1.0066637375512595,1.0061478253629024,1.0015390430932065,1.0029325117259964,1.0140309647506058,1.0062888385560562,1.0086062326078542,1.0066902422344597
186,29-Jul-2016,0.9994388386037474,0.9993425378040761,1.002857682042434,0.9925361520878152,1.012150599196888,1.0058125633816752,0.9991777818381145,1.0003271493758688
